Designator,Mid X,Mid Y,Rotation,Layer
C1,50.287057,-82.192071,198.0,bottom
C2,61.23676,-79.689128,18.0,bottom
J1,54.18715425143145,-55.02507432708453,342.0,top
J2,51.560837,-103.61407,18.0,bottom
R1,63.711657,-95.357635,198.0,bottom
U1,56.48331188344736,-88.82240766434388,18.0,bottom
U2,48.267278,-73.015997,18.0,bottom
U3,44.165496,-80.749881,198.0,bottom
U4,36.347209,-95.723886,198.0,bottom
U5,53.635265,-96.737259,18.0,bottom
